Restaurant Name,Ratings,Address,Contact Number
Jai Shree Sweet Restaurant,4.2,"Khasra Number 46/5 , 37/25/2 Block- A, 100 Foota Road, Burari, Delhi - 110084, Near Government Hospital,  Block A ,Kaushik Enclave","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-ba,mobilesv icon-wx,mobilesv icon-nm,mobilesv icon-po,mobilesv icon-yz,mobilesv icon-rq,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-nm"
Rai Singhs Amritsari Kulcha..,4.0,"Plot Number 20, Ishwar Colony, Main Delhi Road, Bawana, Delhi - 110039, Near Dsiidc Office","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-ji,mobilesv icon-rq,mobilesv icon-wx,mobilesv icon-lk"
Standard Punjabi Food,4.0,"E-93 GF, Main Road, Lajpat Nagar 1, Delhi - 110024","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-lk,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-acb,mobilesv icon-ts,mobilesv icon-acb,mobilesv icon-po,mobilesv icon-po,mobilesv icon-rq"
Anupam Sweet House31,4.1,,"mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-rq,mobilesv icon-ts,mobilesv icon-lk"
Punjabi Angithi,5.0,"Rz-6, Palam Vihar,Kithen No.3 Sec-6,Dwarka, Sector 6 , Dwarka, Dwarka, Delhi - 110075","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-ji,mobilesv icon-rq,mobilesv icon-lk"
Taste Of Fire,4.5,"Shop No 8, Dr Mukherjee Nagar, delhi - 110009","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-rq,mobilesv icon-ts,mobilesv icon-acb,mobilesv icon-wx,mobilesv icon-acb,mobilesv icon-rq,mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-rq"
Guptas Restaurant,4.0,"E-27, South Extension 2, Delhi - 110049, Behind Mcdonalds, Main Market","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-vu,mobilesv icon-wx,mobilesv icon-acb,mobilesv icon-yz"
Yu Turn Restaurant,4.0,"R-2, YMCA Complex, Greater Noida, Noida - 201310, Opposite Jaypee Resort","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-acb,mobilesv icon-ji,mobilesv icon-nm,mobilesv icon-lk,mobilesv icon-po"
Vaishno Amritsari Naan,3.9,"Shop No 3 Lsc Market, Mayur Vihar Phase 1, Delhi - 110091, Near Jeenvan Hospital","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-acb,mobilesv icon-vu,mobilesv icon-po,mobilesv icon-lk"
Bell Pepperz Restaurant,4.1,"A 4, Community Centre, Ashok Vihar 2, Delhi - 110052, OPP Satyawati College","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-acb,mobilesv icon-ji,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-vu"
Kailash Family Restaurant,4.1,"Plot No -1203 Gate No-1, Main Road, Vasundhara Sector 5, Ghaziabad - 201012, Opposite  One Mart Mall","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-lk,mobilesv icon-lk,mobilesv icon-po,mobilesv icon-acb,mobilesv icon-po,mobilesv icon-nm,mobilesv icon-nm,mobilesv icon-rq,mobilesv icon-yz,mobilesv icon-ts"
Veg Daawat,3.9,"Shop No. 276, Pocket 6, Rohini Sector 2, Delhi - 110085, Opp. Burger  Junction","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-po,mobilesv icon-ts,mobilesv icon-vu,mobilesv icon-acb,mobilesv icon-rq,mobilesv icon-po,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ji"
Kamal Sweets & Restaurant,3.9,"C 31 Gurudwara Road, Street No.13, Madhu Vihar-Patparganj, Delhi - 110092","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-nm,mobilesv icon-yz,mobilesv icon-lk,mobilesv icon-wx,mobilesv icon-acb,mobilesv icon-wx,mobilesv icon-acb,mobilesv icon-acb,mobilesv icon-wx"
Foji Dhaba,3.7,"15B Nagali Razapur, Near Sarai Kale Kha, Nizamuddin, Delhi - 110013, Near Nijamuddin Railway Station","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-vu,mobilesv icon-rq,mobilesv icon-acb,mobilesv icon-rq,mobilesv icon-wx,mobilesv icon-wx,mobilesv icon-wx,mobilesv icon-lk,mobilesv icon-po"
Billu Chaap Express,3.9,"G - 1 , Anand Plaza, Pitampura, Delhi - 110034, Local Shopping Market","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-lk,mobilesv icon-lk,mobilesv icon-yz,mobilesv icon-lk,mobilesv icon-acb,mobilesv icon-ts,mobilesv icon-acb,mobilesv icon-ts,mobilesv icon-acb,mobilesv icon-ts"
Vaishno Amritsaari Naan,4.0,"G-12, Aggarwal Tower, Patparganj, Delhi - 110092, Near Ajanta Market, Near AVB Public School, IP Extension","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-acb,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-ba,mobilesv icon-wx,mobilesv icon-wx,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-yz,mobilesv icon-lk,mobilesv icon-ji"
Diners Den,4.1,"30/5 Ground floor, Nagia park, Shakti Nagar, Delhi - 110007","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-ba,mobilesv icon-ts,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-lk,mobilesv icon-wx,mobilesv icon-lk,mobilesv icon-wx,mobilesv icon-lk"
